Statistiche Fantacalcio Stagione 2024 25;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
572;P;Por;Meret;Napoli;34;6,32;5,71;0;25;2;0;0;0;0;0;0;1
5841;P;Por;Svilar;Roma;38;6,32;5,38;0;35;0;0;0;0;0;1;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;37;6,3;5,45;0;42;4;0;0;0;0;3;0;0
2521;P;Por;De Gea;Fiorentina;35;6,34;5,41;0;38;2;0;0;0;0;1;0;0
4431;P;Por;Carnesecchi;Atalanta;34;6,34;5,32;0;34;0;0;0;0;0;1;0;0
2428;P;Por;Sommer;Inter;33;6,18;5,3;0;32;1;0;0;0;0;0;0;0
5876;P;Por;Di Gregorio;Juventus;33;6,15;5,18;0;32;0;0;0;0;0;0;0;0
4312;P;Por;Maignan;Milan;37;6,18;5,14;0;41;1;0;0;0;0;1;0;0
4360;P;Por;Caprile;Cagliari;22;6,2;5,16;0;23;0;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;27;6,17;5,04;0;33;1;0;0;0;0;1;0;0
188;P;Por;Leali;Genoa;29;6,16;5,1;0;31;1;0;0;0;0;1;0;1
6482;P;Por;Mandas;Lazio;9;6,28;5,5;0;7;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;38;6,26;4,79;0;58;1;0;0;0;0;2;0;0
6641;P;Por;Suzuki;Parma;37;6,22;4,76;0;53;0;0;0;0;0;0;1;0
6125;P;Por;Vasquez D.;Empoli;32;6,02;4,67;0;45;1;0;0;0;0;2;0;0
4867;P;Por;Turati;Monza;30;6,3;4,75;0;52;2;0;0;0;0;1;0;0
6966;P;Por;Butez;Como;18;6,22;5,22;0;18;0;0;0;0;0;0;0;0
5116;P;Por;Martinez Jo.;Inter;5;6,3;5,7;0;3;0;0;0;0;0;0;0;0
6462;P;Por;Okoye;Udinese;25;6,1;4,4;0;40;0;0;0;0;0;1;0;1
4957;P;Por;Montipo';Verona;36;6,19;4,44;0;64;1;0;0;0;0;0;0;1
6248;P;Por;Stankovic F.;Venezia;15;6,6;5,23;0;23;1;0;0;0;0;1;0;0
1843;P;Por;Radu I.;Venezia;15;6,47;5,23;0;18;0;0;0;0;0;1;0;0
2814;P;Por;Provedel;Lazio;29;5,98;4,53;0;42;0;0;0;0;0;0;0;0
2722;P;Por;Ravaglia F.;Bologna;12;6;4,83;0;14;0;0;0;0;0;0;0;0
2792;P;Por;Musso;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
6842;P;Por;Sava;Udinese;12;6,04;4,67;0;16;0;0;0;0;0;1;0;0
387;P;Por;Reina;Como;12;5,75;4,5;0;14;0;0;0;0;0;0;1;0
219;P;Por;Sommariva;Genoa;1;7;6;0;1;0;0;0;0;0;0;0;0
761;P;Por;Audero;Como;8;6;3,75;0;18;0;0;0;0;0;0;0;0
2815;P;Por;Terracciano;Fiorentina;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;5;6,1;5,5;0;3;0;0;0;0;0;0;0;0
4;P;Por;Sportiello;Milan;2;6;5;0;2;0;0;0;0;0;0;0;0
4425;P;Por;Joronen;Venezia;8;5,5;3,38;0;15;0;0;0;0;0;0;0;1
511;P;Por;Perilli;Verona;2;6;5;0;2;0;0;0;0;0;0;0;0
6682;P;Por;Pizzignacco;Monza;9;6,06;3,94;0;17;0;0;0;0;0;0;0;1
6991;P;Por;Siegrist;Genoa;2;6,5;5,5;0;2;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
5822;P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Napoli;14;5,89;4,18;0;24;0;0;0;0;0;0;0;0
6650;P;Por;Sherri;Cagliari;7;5,86;4,29;0;11;0;0;0;0;0;0;0;0
2809;P;Por;Vigorito;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6651;P;Por;Chiorra;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
673;P;Por;Perisan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Por;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
610;P;Por;Gollini;Roma;7;5,86;4,07;0;15;1;0;0;0;0;1;0;0
1926;P;Por;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6417;P;Por;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2401;P;Por;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Por;Nava;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;P;Por;Cragno;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
5853;P;Por;Sorrentino A.;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;P;Por;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6661;P;Por;Chichizola;Parma;1;5;2;0;3;0;0;0;0;0;0;0;0
6662;P;Por;Corvi;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
5338;P;Por;Rinaldi;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
5304;P;Por;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5384;P;Por;Ryan;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5320;P;Por;Paleari;Torino;1;6,5;3,5;0;3;0;0;0;0;0;0;0;0
6210;P;Por;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
543;P;Por;Padelli;Udinese;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
5521;P;Por;Bertinato;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6671;P;Por;Grandi;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4491;P;Por;Berardi A.;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4351;P;Por;Brancolini;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4929;P;Por;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6813;P;Por;Torriani;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
216;P;Por;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
2211;P;Por;Silvestri;Empoli;5;5,7;3,5;0;11;0;0;0;0;0;0;0;0
6818;P;Por;Mazza;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
6824;P;Por;Marin Re.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4270;P;Por;Rui Patricio;Atalanta;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
2091;P;Por;Plizzari;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6919;P;Por;Seghetti;Empoli;1;6,5;3,5;0;3;0;0;0;0;0;0;0;0
5707;P;Por;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6970;P;Por;Selvik;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
797;P;Por;Marcone;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6569;P;Por;Stolz;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
7042;P;Por;Calligaris;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
7048;P;Por;De Marzi;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
254;D;E;Dimarco;Inter;32;6,31;6,86;4;0;0;0;0;0;7;3;0;0
5513;D;E;Dumfries;Inter;29;6,19;6,91;7;0;0;0;0;0;2;4;0;0
4433;D;"Dd;Ds;E";Zortea;Cagliari;35;6,07;6,6;6;0;0;0;0;0;2;3;0;0
5877;D;E;Carlos Augusto;Inter;28;6,2;6,61;3;0;0;0;0;0;3;1;0;0
2120;D;Dc;Bastoni;Inter;32;6,42;6,55;1;0;0;0;0;0;4;4;1;0
2160;D;E;Gosens;Fiorentina;32;6,12;6,59;5;0;0;0;0;0;3;6;0;0
2816;D;"B;Dd;E";Di Lorenzo;Napoli;37;6,15;6,36;3;0;0;0;0;0;2;6;0;0
554;D;E;Zappacosta;Atalanta;30;5,98;6,4;4;0;0;0;0;0;2;3;0;0
2593;D;"Ds;E";Martin;Genoa;36;6,17;6,32;0;0;0;0;0;0;8;5;0;0
5520;D;"Dd;Ds;E";Cambiaso;Juventus;32;6,09;6,31;2;0;0;0;0;0;3;4;0;0
2296;D;Dc;Mancini;Roma;37;6,18;6,26;2;0;0;0;0;0;1;8;0;0
4772;D;"Ds;E";Angelino;Roma;38;6,14;6,32;2;0;0;0;0;0;1;1;0;0
5885;D;"Dd;E";Dodo';Fiorentina;35;6,19;6,21;0;0;0;0;0;0;5;8;0;0
4292;D;"Ds;E";Hernandez T.;Milan;33;6,02;6,29;4;0;0;1;0;1;3;4;1;0
5862;D;"Ds;E";Valeri;Parma;34;5,94;6,25;2;0;0;1;1;0;5;1;0;0
6217;D;Dc;Bisseck;Inter;27;6;6,33;3;0;0;0;0;0;2;4;0;0
2525;D;"B;Dd;E";Darmian;Inter;26;6,08;6,37;3;0;0;0;0;0;2;3;0;1
5620;D;"Ds;E";Tavares N.;Lazio;23;6,28;6,5;0;0;0;0;0;0;7;2;1;0
5838;D;"Dd;Ds;E";Birindelli;Monza;20;5,95;6,35;3;0;0;0;0;0;0;2;0;0
4409;D;Dc;Rrahmani;Napoli;38;6,14;6,17;1;0;0;0;0;0;1;2;0;1
6664;D;"B;Dd;E";Delprato;Parma;34;6,03;6,21;4;2;0;0;0;0;0;8;0;0
4887;D;E;Bellanova;Atalanta;35;6,04;6,26;0;0;0;0;0;0;9;3;0;0
393;D;Dc;Luperto;Cagliari;36;6;6,08;1;0;0;0;0;0;2;4;0;0
5514;D;"Ds;Dc";Vasquez;Genoa;36;6,06;6,18;3;0;0;0;0;0;0;9;0;0
322;D;Dc;De Vrij;Inter;22;6,18;6,55;3;0;0;0;0;0;0;2;0;0
2188;D;"Dd;Ds;E";Marusic;Lazio;31;5,85;6,16;4;0;0;0;0;0;0;1;0;1
6257;D;"Ds;E";Dorgu;Lecce;21;5,83;6,12;3;0;0;0;0;0;1;2;1;1
4530;D;"Ds;E";Kyriakopoulos;Monza;34;5,9;6,06;2;0;0;0;0;0;4;5;0;1
2724;D;Dc;Buongiorno;Napoli;22;6,36;6,45;1;0;0;0;0;0;0;2;0;0
1852;D;E;Spinazzola;Napoli;23;6,07;6,22;1;0;0;0;0;0;1;1;0;0
5899;D;Dc;Gigot;Lazio;10;6,2;6,7;2;0;0;0;0;0;0;2;0;0
4734;D;"Ds;E";Miranda J.;Bologna;29;6,05;6,16;0;0;0;0;0;0;6;4;1;0
4421;D;"Ds;E";Augello;Cagliari;37;5,95;6,09;0;0;0;0;0;0;7;3;0;0
5010;D;Dc;Ismajli;Empoli;29;6,17;6,12;0;0;0;0;0;0;0;3;0;0
5804;D;"Ds;E";Cacace;Empoli;29;5,79;6,02;2;0;0;0;0;0;3;6;0;0
770;D;"Ds;E";Pezzella Giu.;Empoli;35;6,03;6,04;0;0;0;0;0;0;4;7;0;0
5449;D;"Ds;E";Parisi;Fiorentina;20;6;6,22;2;0;0;0;0;0;0;3;0;0
5831;D;Dc;Gatti;Juventus;28;6,14;6,21;1;0;0;0;0;0;0;2;0;0
5835;D;"Dd;Dc";Baschirotto;Lecce;38;5,86;5,97;2;0;0;0;0;0;0;3;0;0
4401;D;Dc;Gabbia;Milan;25;6,04;6,2;2;0;0;0;0;0;0;4;0;0
4317;D;Dc;N'Dicka;Roma;38;6,05;6,03;0;0;0;0;0;0;0;2;0;0
4210;D;Dc;Mina;Cagliari;31;6,06;6,06;1;0;0;0;0;0;0;4;1;0
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;36;5,92;5,96;1;0;0;0;0;0;2;7;0;0
5739;D;"Dd;Dc";De Winter;Genoa;24;5,85;6,1;3;0;0;0;0;0;0;6;0;0
5833;D;Dc;Gila;Lazio;32;6,05;5,95;1;0;0;0;0;0;0;8;0;1
6632;D;Dc;Gaspar K.;Lecce;24;6,17;6,15;0;0;0;0;0;0;1;3;0;0
4976;D;"Dd;Dc";Kalulu;Juventus;28;6,02;6,05;1;0;0;0;0;0;0;2;1;0
5840;D;"B;Ds;E";Olivera;Napoli;30;6,08;6,05;0;0;0;0;0;0;1;4;0;0
4385;D;E;Lazaro;Torino;31;5,98;6,08;0;0;0;0;0;0;6;6;0;0
5555;D;"Ds;E";Kamara H.;Udinese;30;5,93;6,03;1;0;0;0;0;0;4;6;1;0
6672;D;Dc;Idzes;Venezia;35;5,96;5,97;1;0;0;0;0;0;0;5;0;0
5022;D;Dc;Pavlovic;Milan;22;5,91;6,11;2;0;0;0;0;0;1;3;1;0
6956;D;Dc;Solet;Udinese;19;6,16;6,29;1;0;0;0;0;0;1;1;1;0
787;D;Dc;Djimsiti;Atalanta;33;5,88;5,88;1;0;0;0;0;0;2;6;0;1
5354;D;E;Ruggeri;Atalanta;26;6;6,08;0;0;0;0;0;0;3;2;0;0
6202;D;Dc;Beukema;Bologna;34;5,93;5,94;0;0;0;0;0;0;1;1;0;0
4461;D;"B;Dd;E";Zappa;Cagliari;36;5,75;5,86;2;0;0;0;0;0;0;4;0;0
5718;D;Dc;Viti;Empoli;30;6,02;6,07;1;0;0;0;0;0;0;3;0;0
513;D;Dc;Acerbi;Inter;21;6,07;6,12;0;0;0;0;0;0;1;0;0;0
2788;D;Dc;Bremer;Juventus;6;6,5;6,42;0;0;0;0;0;0;0;1;0;0
460;D;Dc;Romagnoli;Lazio;32;5,84;5,91;2;0;0;0;0;0;0;4;2;0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;19;6,08;6,11;0;0;0;0;0;0;3;5;0;0
5307;D;Dc;Valenti;Parma;20;5,85;5,85;1;0;0;0;0;0;0;4;1;0
4994;D;"B;Dd;E";Vojvoda;Como;27;5,96;6,04;1;0;0;0;0;0;2;6;0;0
49;D;"B;Ds;E";Masina;Torino;24;5,96;6,12;1;0;0;0;0;0;3;5;0;0
5847;D;Dc;Bijol;Udinese;34;5,99;5,88;1;0;0;0;0;0;2;11;1;1
5677;D;Dc;Perez N.;Udinese;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
6480;D;"Dd;E";Tchatchoua;Verona;36;5,76;5,9;2;0;0;0;0;0;3;6;1;0
6802;D;"B;Dd;E";Savona;Juventus;27;5,89;6,02;2;0;0;0;0;0;0;5;0;0
697;D;E;Cuadrado;Atalanta;20;6,08;6,1;0;0;0;0;0;0;2;3;0;0
4665;D;Dc;Maripan;Torino;28;5,93;5,93;1;0;0;0;0;0;0;4;1;0
2515;D;"B;Dd;E";Walker;Milan;10;5,95;5,9;0;0;0;0;0;0;0;1;0;0
5678;D;"Dd;E";Holm;Bologna;16;5,94;6,12;1;0;0;0;0;0;1;3;0;0
2653;D;"Ds;E";Lykogiannis;Bologna;16;6;6,16;0;0;0;0;0;0;4;3;0;0
2602;D;Dc;Varane;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6495;D;Dc;Comuzzo;Fiorentina;28;5,91;5,93;1;0;0;0;0;0;0;5;0;0
5323;D;Dc;Martinez Quarta;Fiorentina;7;5,86;6,21;1;0;0;0;0;0;0;1;0;0
252;D;"B;Ds;E";Biraghi;Torino;21;5,83;5,86;1;0;0;0;0;0;0;1;0;1
791;D;"Dd;Ds;E";Sabelli;Genoa;30;5,87;5,9;0;0;0;0;0;0;2;3;0;0
4177;D;"Dd;Dc";Pavard;Inter;22;6,05;6;0;0;0;0;0;0;1;4;0;0
4237;D;"B;Dd;Ds";Danilo;Juventus;8;5,44;5,44;0;0;0;0;0;0;1;2;0;0
4751;D;Dc;Tomori;Milan;18;5,86;5,81;0;0;0;0;0;0;1;2;1;0
4245;D;Dc;Smalling;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5764;D;Dc;Coppola D.;Verona;33;5,8;5,86;2;0;0;0;0;0;1;10;0;0
5695;D;"Ds;E";Haps;Venezia;22;5,86;5,98;1;0;0;0;0;0;1;3;0;0
6531;D;"Dd;Ds;E";Jimenez A.;Milan;21;5,95;5,83;0;0;0;0;0;0;0;6;0;0
2640;D;"B;Ds;E";Kolasinac;Atalanta;23;6,13;5,98;0;0;0;0;0;0;2;7;0;1
2130;D;E;Hateboer;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
5701;D;Dc;Obert;Cagliari;19;5,95;6,05;1;0;0;0;0;0;1;4;0;0
418;D;Dc;Goldaniga;Como;30;5,83;5,73;1;0;0;0;0;0;0;10;1;0
5527;D;"Dd;E";Zanoli;Genoa;27;5,91;5,96;1;0;0;0;0;0;0;3;0;0
5867;D;"Dd;E";Gendrey;Lecce;2;5,25;5,25;0;0;0;0;0;0;0;0;0;0
4904;D;Dc;Mari';Fiorentina;32;5,84;5,75;0;0;0;0;0;0;0;4;1;0
6642;D;Dc;Coco;Torino;32;5,86;5,83;2;0;0;0;0;0;0;10;0;1
4263;D;Dc;Kabasele;Udinese;16;5,84;6,22;2;0;0;0;0;0;0;0;0;0
6047;D;"Dd;E";Ehizibue;Udinese;31;5,85;5,81;0;0;0;0;0;0;1;5;0;0
4816;D;"B;Dd;Ds";Emerson Royal;Milan;17;5,62;5,47;0;0;0;0;0;0;0;5;0;0
6887;D;Dc;Leoni;Parma;17;5,85;5,88;1;0;0;0;0;0;0;3;1;0
6893;D;Dc;Kempf;Como;31;5,85;5,76;0;0;0;0;0;0;0;4;1;0
5532;D;"Ds;E";Bradaric;Verona;27;5,72;5,72;1;0;0;0;0;0;0;6;0;0
6985;D;"Ds;Dc";Candè;Venezia;17;5,76;5,82;1;0;0;0;0;0;0;4;0;0
6766;D;"Ds;Dc";Kelly L.;Juventus;12;5,67;5,62;0;0;0;0;0;0;0;1;0;0
6046;D;Dc;Hien;Atalanta;29;5,95;5,78;0;0;0;0;0;0;0;10;0;0
6042;D;Dc;Lucumi';Bologna;32;5,83;5,7;0;0;0;0;0;0;1;8;1;0
487;D;"Dd;E";De Silvestri;Bologna;16;5,91;6,06;1;0;0;0;0;0;0;1;0;0
5435;D;"Ds;E";Moreno Alb.;Como;23;5,96;5,87;0;0;0;0;0;0;0;4;0;0
6537;D;"Dd;Dc";Goglichidze;Empoli;33;5,76;5,71;0;0;0;0;0;0;1;3;1;0
5603;D;Dc;Pongracic;Fiorentina;17;5,85;5,65;0;0;0;0;0;0;0;1;1;1
2285;D;Dc;Bani;Genoa;20;5,92;5,85;0;0;0;0;0;0;0;3;0;0
294;D;Dc;Rugani;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
2263;D;"Dd;E";Lazzari;Lazio;22;5,89;5,86;0;0;0;0;0;0;1;3;0;0
140;D;"Dd;Ds;E";Hysaj;Lazio;8;5,88;6,12;0;0;0;0;0;0;3;0;1;0
4502;D;"Ds;E";Gallo;Lecce;31;5,79;5,65;0;0;0;0;0;0;2;3;1;2
4657;D;"Dd;E";Celik;Roma;30;5,78;5,77;0;0;0;0;0;0;2;5;0;0
6211;D;"Ds;E";Zemura;Udinese;21;5,81;6;1;0;0;0;0;0;2;2;0;0
2181;D;Dc;Palomino;Cagliari;17;5,76;5,85;1;0;0;0;0;0;0;3;0;0
5626;D;"B;Dd;Ds";Guilbert;Lecce;31;5,79;5,71;0;0;0;0;0;0;1;3;2;0
6892;D;"Dd;Dc";Schingtienne;Venezia;15;5,7;5,63;0;0;0;0;0;0;0;2;0;0
5578;D;"Dd;Dc";Kossounou;Atalanta;17;5,94;5,91;0;0;0;0;0;0;0;1;0;0
6896;D;"Dd;E";Van Der Brempt;Como;18;5,94;5,92;0;0;0;0;0;0;1;3;0;0
6975;D;"Dd;E";Alberto Costa;Juventus;8;6;5,81;0;0;0;0;0;0;0;3;0;0
6986;D;"B;Dd;E";Rensch;Roma;8;6,06;6,19;0;0;0;0;0;0;1;0;0;0
6990;D;"Dd;E";Veiga D.;Lecce;11;5,73;5,73;0;0;0;0;0;0;0;0;0;0
6867;D;"Ds;E";Valle;Como;13;5,81;5,73;0;0;0;0;0;0;0;2;0;0
5067;D;E;Bakker;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
5406;D;"Dd;E";Di Pardo;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6230;D;Dc;Dossena;Como;23;5,8;5,85;0;0;0;0;0;0;2;0;1;0
4374;D;Dc;Walukiewicz;Torino;28;5,73;5,64;0;0;0;0;0;0;0;6;0;0
5480;D;"Dd;E";Ebuehi;Empoli;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
5450;D;"Dd;E";Stojanovic;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6245;D;"Dd;Dc";Vogliacco;Parma;20;5,7;5,78;2;0;0;0;0;0;0;5;0;1
358;D;"Dd;Ds;E";De Sciglio;Empoli;12;5,79;6,04;1;0;0;0;0;0;0;0;0;0
357;D;"Dd;E";Calabria;Bologna;13;5,88;5,85;0;0;0;0;0;0;1;3;0;0
226;D;Dc;Izzo;Monza;28;5,75;5,68;1;0;0;0;0;0;1;12;0;0
4925;D;"Ds;Dc";Carboni A.;Monza;26;5,63;5,62;0;0;0;0;0;0;2;5;0;0
729;D;"Dd;E";Pereira P.;Monza;33;5,64;5,65;1;0;0;0;0;0;2;10;0;0
6396;D;Dc;Natan;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5353;D;Dc;Balogh;Parma;27;5,78;5,72;0;0;0;0;0;0;1;5;0;0
6485;D;Dc;Kristensen T.;Udinese;21;5,57;5,6;1;0;0;0;0;0;0;5;0;0
6256;D;"B;Dd;E";Ferreira J.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
